q1,db_path,knowledge,gt,question,another_question,answer,another_answer,valid,empty,correct,egt,e1,e2
Write down the ruling of Beacon of Immortality.,data/dev_databases/card_games/card_games.sqlite,Beacon of Immortality' is the name of card;,SELECT T2.text FROM cards AS T1 INNER JOIN rulings AS T2 ON T1.uuid = T2.uuid WHERE T1.name = 'Beacon of Immortality',Write down the ruling of Beacon of Immortality.,What is the definition of the card Beacon of Immortality?,SELECT textþFROM rulingsþWHERE uuid = (SELECT uuid FROM cards WHERE name = 'Beacon of Immortality'),SELECT * FROM cards WHERE name = 'Beacon of Immortality',0,0,1,"[('If you double a negative life total, you do the real math. A life total of -10 becomes -20.',), ('Beacon of Immortality’s effect counts as life gain (or life loss, if the life total was negative) for effects that trigger on or replace life gain (or life loss).',), ('If a Beacon is countered or doesn’t resolve, it’s put into its owner’s graveyard, not shuffled into the library.',), ('If you double a negative life total, you do the real math. A life total of -10 becomes -20.',), ('Beacon of Immortality’s effect counts as life gain (or life loss, if the life total was negative) for effects that trigger on or replace life gain (or life loss).',), ('If a Beacon is countered or doesn’t resolve, it’s put into its owner’s graveyard, not shuffled into the library.',), ('If you double a negative life total, you do the real math. A life total of -10 becomes -20.',), ('Beacon of Immortality’s effect counts as life gain (or life loss, if the life total was negative) for effects that trigger on or replace life gain (or life loss).',), ('If a Beacon is countered or doesn’t resolve, it’s put into its owner’s graveyard, not shuffled into the library.',), ('If you double a negative life total, you do the real math. A life total of -10 becomes -20.',), ('Beacon of Immortality’s effect counts as life gain (or life loss, if the life total was negative) for effects that trigger on or replace life gain (or life loss).',), ('If a Beacon is countered or doesn’t resolve, it’s put into its owner’s graveyard, not shuffled into the library.',)]","[('If you double a negative life total, you do the real math. A life total of -10 becomes -20.',), ('Beacon of Immortality’s effect counts as life gain (or life loss, if the life total was negative) for effects that trigger on or replace life gain (or life loss).',), ('If a Beacon is countered or doesn’t resolve, it’s put into its owner’s graveyard, not shuffled into the library.',)]","[(6, 'Rob Alexander', None, 'mtgo,paper', 'black', '123096', '122728', 'W', None, 'W', 6.0, None, 2801, None, None, None, 'The cave floods with light. A thousand rays shine forth and meld into one.', None, '2003', None, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, None, 'normal', None, None, None, '{5}{W}', '16174', '499', None, '43f8222f-3fd5-5491-9e76-5b1cc9a86e93', '27622', '27621', '130553', 'Beacon of Immortality', '10', None, ""Double target player's life total. Shuffle Beacon of Immortality into its owner's library."", 'Instant', None, None, '10E,5DN,E02,MB1', None, ""{'cardKingdom': 'https://mtgjson.com/links/641aecf0d3150e1f', 'cardKingdomFoil': 'https://mtgjson.com/links/8aaf9f7f17f79315', 'cardmarket': 'https://mtgjson.com/links/8919bf4f1f651197', 'tcgplayer': 'https://mtgjson.com/links/04830bb89a273674'}"", 'rare', 'f0b9b5da-d3fa-4d70-a71a-a2342dbfd527', 'e314cc4f-55dc-48c5-abb3-2aa78e940020', 'bfcdf563-c6e5-4a54-bb63-4aba219b94e2', '10E', None, None, None, '15052', ""Double target player's life total. Shuffle Beacon of Immortality into its owner's library."", None, 'Instant', 'Instant', '56f4935b-f6c5-59b9-88bf-9bcce20247ce', None, None), (2263, 'Rob Alexander', None, 'mtgo,paper', 'black', '111605', '111434', 'W', None, 'W', 6.0, None, 2801, None, None, None, 'The cave floods with light. A thousand rays shine forth and meld into one.', None, '2003', None, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, None, 'normal', None, None, None, '{5}{W}', '622', '499', None, '9f734020-0236-550b-a1c3-979cc2730d60', '20703', '20702', '50141', 'Beacon of Immortality', '6', None, ""Double target player's life total. Shuffle Beacon of Immortality into its owner's library."", 'Instant', None, None, '10E,5DN,E02,MB1', None, ""{'cardKingdom': 'https://mtgjson.com/links/be82974182fc6c4f', 'cardKingdomFoil': 'https://mtgjson.com/links/db46ef274c86afa1', 'cardmarket': 'https://mtgjson.com/links/400f063487c2720c', 'tcgplayer': 'https://mtgjson.com/links/a2ba959c56f8286b'}"", 'rare', '601bb6d1-77f4-4ffe-94d0-bed74c33013b', 'e314cc4f-55dc-48c5-abb3-2aa78e940020', 'bfcdf563-c6e5-4a54-bb63-4aba219b94e2', '5DN', None, None, None, '11909', ""Double target player's life total. Shuffle Beacon of Immortality into its owner's library."", None, 'Instant', 'Instant', '1252fe2e-4d39-52b7-8479-b3d6a4af90d0', None, None), (17711, 'Rob Alexander', None, 'paper', 'black', None, '215445', 'W', None, 'W', 6.0, None, 2801, None, None, None, 'The cave floods with light. A thousand rays shine forth and meld into one.', None, '2015', None, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, None, 'normal', None, None, None, '{5}{W}', '311222', '499', None, '065c72c9-9ab6-580d-ab47-7bfa72427523', None, None, '439343', 'Beacon of Immortality', '1', None, ""Double target player's life total. Shuffle Beacon of Immortality into its owner's library."", 'Instant', None, None, '10E,5DN,E02,MB1', None, ""{'cardKingdom': 'https://mtgjson.com/links/c1121c3a1869db26', 'cardmarket': 'https://mtgjson.com/links/a5275cfab920be27', 'tcgplayer': 'https://mtgjson.com/links/19ca708f176920ba'}"", 'rare', '1c35c626-3693-44d8-a308-d3d5dcf77c93', 'e314cc4f-55dc-48c5-abb3-2aa78e940020', 'bfcdf563-c6e5-4a54-bb63-4aba219b94e2', 'E02', None, None, None, '149288', ""Double target player's life total. Shuffle Beacon of Immortality into its owner's library."", None, 'Instant', 'Instant', '58055446-0e3f-5d44-bdd7-05aa406d9795', None, None), (30308, 'Rob Alexander', None, 'paper', 'black', None, '229254', 'W', None, 'W', 6.0, None, 2801, None, None, None, 'The cave floods with light. A thousand rays shine forth and meld into one.', None, '2015', None, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, None, 'normal', None, None, None, '{5}{W}', '415521', '499', None, '046ad0c2-2212-59fc-9789-b3b441c4d21a', None, None, None, 'Beacon of Immortality', '35', None, None, None, None, None, '10E,5DN,E02,MB1', None, ""{'cardKingdom': 'https://mtgjson.com/links/837dd8cf28d2040d', 'cardmarket': 'https://mtgjson.com/links/2ec152add02bfa2d', 'tcgplayer': 'https://mtgjson.com/links/80ae4dbab31d0d5c'}"", 'rare', '58bbe5a2-a77f-49be-a2c8-2325b299813f', 'e314cc4f-55dc-48c5-abb3-2aa78e940020', 'bfcdf563-c6e5-4a54-bb63-4aba219b94e2', 'MB1', None, None, None, '202825', ""Double target player's life total. Shuffle Beacon of Immortality into its owner's library."", None, 'Instant', 'Instant', '9e8e0e9e-33d3-5d99-a798-e5243340d6cf', None, None)]"
How many cards with a 1993 frame version and available on paper have a sensitive content warning?,data/dev_databases/card_games/card_games.sqlite,sensitive content warning refer to hasContentWarning = 1; available on paper refer to availability = 'paper' 1993 refer to frameVersion,SELECT COUNT(id) FROM cards WHERE frameVersion = 1993 AND availability = 'paper' AND hasContentWarning = 1,How many cards with a 1993 frame version and available on paper have a sensitive content warning?,How many books published in the year 2020 and available in hardcover format contain a parental advisory label?,SELECT COUNT(*) FROM cards WHERE frameVersion = '1993' AND availability = 'paper' AND hasContentWarning = 1,SELECT COUNT(*) FROM books WHERE publication_year = 2020 AND format = 'hardcover' AND has_parental_advisory_label = 1,0,0,1,"[(20,)]","[(20,)]",[]
What language is the set of 180 cards that belongs to the Ravnica block translated into?,data/dev_databases/card_games/card_games.sqlite,set of 180 cards refers to baseSetSize = 180,SELECT T2.language FROM sets AS T1 INNER JOIN set_translations AS T2 ON T1.code = T2.setCode WHERE T1.block = 'Ravnica' AND T1.baseSetSize = 180,What language is the set of 180 cards that belongs to the Ravnica block translated into?,What is the name of the programming language used to create the software that powers the popular social media platform?,SELECT languageþFROM set_translationsþWHERE setCode IN (þ    SELECT codeþ    FROM setsþ    WHERE block = 'Ravnica'þ        AND baseSetSize = 180þ),"The question is asking for the name of the programming language used to create the software that powers the popular social media platform. This information is not provided in the given tables, so a SQL query cannot be used to answer this question.",0,0,1,"[('Chinese Simplified',), ('Chinese Traditional',), ('French',), ('German',), ('Italian',), ('Japanese',), ('Korean',), ('Portuguese (Brazil)',), ('Russian',), ('Spanish',)]","[('Chinese Simplified',), ('Chinese Traditional',), ('French',), ('German',), ('Italian',), ('Japanese',), ('Korean',), ('Portuguese (Brazil)',), ('Russian',), ('Spanish',)]",[]
How many color cards with no borders have been ranked higher than 12000 on EDHRec?,data/dev_databases/card_games/card_games.sqlite,color cards with no borders refers to borderColor = 'borderless'; ranked higher than 12000 on EDHRec refers to edhrecRank > 12000,SELECT COUNT(id) FROM cards WHERE edhrecRank > 12000 AND borderColor = 'borderless',How many color cards with no borders have been ranked higher than 12000 on EDHRec?,How many cards with a solid color background and no visible borders have received a higher ranking than 12000 on the EDHRec platform?,SELECT COUNT(*) FROM cards WHERE borderColor = 'borderless' AND edhrecRank > 12000,SELECT COUNT(*) FROM cards WHERE borderColor = 'solid' AND edhrecRank > 12000,0,0,1,"[(7,)]","[(7,)]","[(0,)]"
Please list any three unknown power cards that have promotional types for arena league.,data/dev_databases/card_games/card_games.sqlite,unknown power cards refers to power is null or power = '*'; promotional types for arena league refers to promoTypes = 'arenaleague',SELECT name FROM cards WHERE power IS NULL OR power LIKE '%*%' AND promoTypes = 'arenaleague' LIMIT 3,Please list any three unknown power cards that have promotional types for arena league.,What are three promotional arena league power cards with unknown abilities?,SELECT nameþFROM cardsþWHERE power IS NULL OR power = '*'þAND promoTypes = 'arenaleague'þLIMIT 3,SELECT nameþFROM cardsþWHERE promoTypes = 'arenaleague' AND (power IS NULL OR power = '*')þLIMIT 3,0,0,1,"[('Bandage',), ('Beacon of Immortality',), ('Condemn',)]","[('Bandage',), ('Beacon of Immortality',), ('Condemn',)]","[('Duress',), ('Chill',), ('Pillage',)]"
What is the language of the card with the multiverse number 149934?,data/dev_databases/card_games/card_games.sqlite,multiverse number 149934 refers to multiverseid = 149934;,SELECT language FROM foreign_data WHERE multiverseid = 149934,What is the language of the card with the multiverse number 149934?,What is the programming language used to retrieve information about the card with the unique identifier 149934?,SELECT language FROM foreign_data WHERE multiverseid = 149934,SELECT * FROM cards WHERE multiverseId = 149934,0,0,1,"[('French',)]","[('French',)]",[]
What languages are available in the set known as Archenemy on the magic card market and having the code ARC?,data/dev_databases/card_games/card_games.sqlite,known as Archenemy refers to mcmName = 'Archenemy'; having the code ARC refers to setCode = 'ARC',SELECT T2.language FROM sets AS T1 INNER JOIN set_translations AS T2 ON T1.code = T2.setCode WHERE T1.mcmName = 'Archenemy' AND T2.setCode = 'ARC',What languages are available in the set known as Archenemy on the magic card market and having the code ARC?,What programming languages are supported by the Archenemy set on the magic card market and identified by the code ARC?,SELECT languageþFROM set_translationsþWHERE setCode = 'ARC' AND translation = 'Archenemy',SELECT DISTINCT languageþFROM set_translationsþWHERE setCode = 'ARC' AND mcmName = 'Archenemy',0,0,1,"[('Chinese Simplified',), ('Chinese Traditional',), ('French',), ('German',), ('Italian',), ('Japanese',), ('Korean',), ('Portuguese (Brazil)',), ('Russian',), ('Spanish',)]","[('Chinese Simplified',), ('Chinese Traditional',), ('French',), ('German',), ('Italian',), ('Japanese',), ('Korean',), ('Portuguese (Brazil)',), ('Russian',), ('Spanish',)]",[]
Which set is not available outside of the United States and has foil cards with Japanese writing on them? Please include the set ID in your response.,data/dev_databases/card_games/card_games.sqlite,available outside of the United States refers to isForeignOnly = 1; has foil cards refers to isFoilOnly = 1; with Japanese writing on them refers to language = 'Japanese',SELECT T1.id FROM sets AS T1 INNER JOIN set_translations AS T2 ON T1.code = T2.setCode WHERE T2.language = 'Japanese' AND T1.isFoilOnly = 1 AND T1.isForeignOnly = 0,Which set is not available outside of the United States and has foil cards with Japanese writing on them? Please include the set ID in your response.,Which product line is exclusively sold in Europe and features limited edition items with French labels?,SELECT sets.idþFROM setsþWHERE sets.isForeignOnly = 0þAND sets.isFoilOnly = 1þAND sets.code IN (þ    SELECT set_translations.setCodeþ    FROM set_translationsþ    WHERE set_translations.language = 'Japanese'þ),SELECT DISTINCT sets.nameþFROM setsþJOIN set_translations ON sets.code = set_translations.setCodeþWHERE sets.isForeignOnly = 1þAND set_translations.language = 'French',0,0,1,"[(50,), (307,), (522,), (523,), (524,), (525,), (526,), (527,), (528,), (529,)]","[(50,), (307,), (522,), (523,), (524,), (525,), (526,), (527,), (528,), (529,)]",[]
How many cards have frame effect as extendedart? List out the id of those cards.,data/dev_databases/card_games/card_games.sqlite,"
frame effect as extendedart refers to frameEffects = 'extendedart'
",SELECT id FROM cards WHERE frameEffects = 'extendedart' GROUP BY id,How many cards have frame effect as extendedart? List out the id of those cards.,"How many products have the attribute ""limited edition""? List out the product codes of those products.",SELECT idþFROM cardsþWHERE frameEffects = 'extendedart',"SELECT COUNT(*) AS num_products, codeþFROM setsþWHERE type = 'limited edition'þGROUP BY code",0,0,1,"[(13524,), (13525,), (13526,), (13527,), (13528,), (13529,), (13530,), (13531,), (13532,), (13533,), (13534,), (13535,), (13536,), (13537,), (13538,), (13539,), (13540,), (13541,), (13542,), (13543,), (13544,), (13545,), (13546,), (13547,), (13548,), (13549,), (13550,), (13551,), (13552,), (13553,), (13554,), (13555,), (13556,), (13557,), (13558,), (13559,), (13560,), (13561,), (13562,), (13563,), (13564,), (13565,), (13566,), (13567,), (13568,), (13569,), (13570,), (13571,), (13572,), (13573,), (13574,), (13575,), (13576,), (13577,), (13578,), (13579,), (13580,), (13581,), (13582,), (13583,), (13584,), (13585,), (13586,), (13587,), (13588,), (13589,), (13590,), (13591,), (13592,), (13593,), (13594,), (13595,), (13596,), (13597,), (13598,), (13599,), (13600,), (13601,), (13602,), (13603,), (13604,), (13605,), (13606,), (13607,), (13608,), (13609,), (13610,), (13611,), (13612,), (13613,), (13614,), (13615,), (13616,), (13617,), (13618,), (13619,), (13620,), (13621,), (13622,), (13623,), (13624,), (13625,), (18151,), (18152,), (18154,), (18155,), (18156,), (18158,), (18160,), (18163,), (18164,), (18165,), (18166,), (18168,), (18170,), (18171,), (18172,), (18174,), (18175,), (18177,), (18178,), (18179,), (18180,), (18181,), (18182,), (18183,), (18185,), (18186,), (18188,), (18190,), (18191,), (18192,), (18194,), (18195,), (18196,), (18197,), (18198,), (18199,), (18200,), (18201,), (18202,), (18203,), (18204,), (18205,), (18206,), (18207,), (18208,), (22945,), (22946,), (22947,), (22948,), (22949,), (22950,), (22951,), (22952,), (22953,), (22954,), (22955,), (22956,), (22958,), (22960,), (22962,), (22963,), (22964,), (22965,), (22967,), (22968,), (22970,), (22971,), (22972,), (22974,), (22975,), (22976,), (22977,), (22978,), (22979,), (22981,), (22992,), (22994,), (25414,), (25415,), (25416,), (25417,), (25418,), (25419,), (25420,), (25421,), (25422,), (25423,), (25424,), (25425,), (25426,), (25427,), (25428,), (25429,), (25430,), (25431,), (25432,), (25433,), (25434,), (25435,), (25436,), (25437,), (25438,), (25439,), (25440,), (25441,), (25442,), (25443,), (25444,), (25445,), (25446,), (25447,), (25448,), (25449,), (25450,), (25451,), (25452,), (25453,), (25479,), (30216,), (30217,), (30218,), (30220,), (30221,), (30222,), (30223,), (30225,), (30226,), (30227,), (30228,), (30229,), (30230,), (30231,), (30232,), (30233,), (30235,), (30236,), (30237,), (30239,), (30240,), (30241,), (30242,), (30245,), (30246,), (30247,), (30249,), (30250,), (30251,), (30253,), (30254,), (30259,), (30260,), (30261,), (30262,), (30263,), (30264,), (30265,), (30266,), (30267,), (44911,), (44913,), (44915,), (44916,), (44917,), (44918,), (44919,), (44920,), (44921,), (44922,), (44925,), (44926,), (44928,), (44929,), (44930,), (44931,), (44933,), (44934,), (44935,), (44936,), (44937,), (44940,), (44941,), (44942,), (44945,), (44946,), (44947,), (44948,), (44949,), (50290,), (50292,), (50293,), (50294,), (50296,), (50297,), (50298,), (50299,), (50300,), (50304,), (50305,), (50308,), (50309,), (50310,), (50311,), (50312,), (50313,), (50314,), (50315,), (50316,), (50319,), (50320,), (50321,), (50323,), (50324,), (50326,), (50328,), (50329,), (50338,), (50339,), (50340,), (50341,), (50342,), (50343,), (50344,), (56746,), (56747,), (56748,), (56749,), (56750,), (56751,), (56752,), (56753,), (56754,), (56755,), (56756,), (56757,), (56760,), (56761,), (56762,), (56763,), (56764,), (56765,), (56766,), (56767,), (56768,), (56769,), (56770,), (56771,), (56772,), (56773,), (56774,), (56776,), (56777,), (56778,), (56779,), (56780,), (56781,), (56782,), (56783,), (56785,), (56786,), (56787,), (56788,), (56789,), (56790,), (56791,), (56792,), (56793,), (56794,), (56795,), (56796,), (56797,), (56799,), (56800,), (56801,), (56802,), (56803,), (56804,), (56805,), (56817,), (56818,), (56819,), (56820,)]","[(13524,), (13525,), (13526,), (13527,), (13528,), (13529,), (13530,), (13531,), (13532,), (13533,), (13534,), (13535,), (13536,), (13537,), (13538,), (13539,), (13540,), (13541,), (13542,), (13543,), (13544,), (13545,), (13546,), (13547,), (13548,), (13549,), (13550,), (13551,), (13552,), (13553,), (13554,), (13555,), (13556,), (13557,), (13558,), (13559,), (13560,), (13561,), (13562,), (13563,), (13564,), (13565,), (13566,), (13567,), (13568,), (13569,), (13570,), (13571,), (13572,), (13573,), (13574,), (13575,), (13576,), (13577,), (13578,), (13579,), (13580,), (13581,), (13582,), (13583,), (13584,), (13585,), (13586,), (13587,), (13588,), (13589,), (13590,), (13591,), (13592,), (13593,), (13594,), (13595,), (13596,), (13597,), (13598,), (13599,), (13600,), (13601,), (13602,), (13603,), (13604,), (13605,), (13606,), (13607,), (13608,), (13609,), (13610,), (13611,), (13612,), (13613,), (13614,), (13615,), (13616,), (13617,), (13618,), (13619,), (13620,), (13621,), (13622,), (13623,), (13624,), (13625,), (18151,), (18152,), (18154,), (18155,), (18156,), (18158,), (18160,), (18163,), (18164,), (18165,), (18166,), (18168,), (18170,), (18171,), (18172,), (18174,), (18175,), (18177,), (18178,), (18179,), (18180,), (18181,), (18182,), (18183,), (18185,), (18186,), (18188,), (18190,), (18191,), (18192,), (18194,), (18195,), (18196,), (18197,), (18198,), (18199,), (18200,), (18201,), (18202,), (18203,), (18204,), (18205,), (18206,), (18207,), (18208,), (22945,), (22946,), (22947,), (22948,), (22949,), (22950,), (22951,), (22952,), (22953,), (22954,), (22955,), (22956,), (22958,), (22960,), (22962,), (22963,), (22964,), (22965,), (22967,), (22968,), (22970,), (22971,), (22972,), (22974,), (22975,), (22976,), (22977,), (22978,), (22979,), (22981,), (22992,), (22994,), (25414,), (25415,), (25416,), (25417,), (25418,), (25419,), (25420,), (25421,), (25422,), (25423,), (25424,), (25425,), (25426,), (25427,), (25428,), (25429,), (25430,), (25431,), (25432,), (25433,), (25434,), (25435,), (25436,), (25437,), (25438,), (25439,), (25440,), (25441,), (25442,), (25443,), (25444,), (25445,), (25446,), (25447,), (25448,), (25449,), (25450,), (25451,), (25452,), (25453,), (25479,), (30216,), (30217,), (30218,), (30220,), (30221,), (30222,), (30223,), (30225,), (30226,), (30227,), (30228,), (30229,), (30230,), (30231,), (30232,), (30233,), (30235,), (30236,), (30237,), (30239,), (30240,), (30241,), (30242,), (30245,), (30246,), (30247,), (30249,), (30250,), (30251,), (30253,), (30254,), (30259,), (30260,), (30261,), (30262,), (30263,), (30264,), (30265,), (30266,), (30267,), (44911,), (44913,), (44915,), (44916,), (44917,), (44918,), (44919,), (44920,), (44921,), (44922,), (44925,), (44926,), (44928,), (44929,), (44930,), (44931,), (44933,), (44934,), (44935,), (44936,), (44937,), (44940,), (44941,), (44942,), (44945,), (44946,), (44947,), (44948,), (44949,), (50290,), (50292,), (50293,), (50294,), (50296,), (50297,), (50298,), (50299,), (50300,), (50304,), (50305,), (50308,), (50309,), (50310,), (50311,), (50312,), (50313,), (50314,), (50315,), (50316,), (50319,), (50320,), (50321,), (50323,), (50324,), (50326,), (50328,), (50329,), (50338,), (50339,), (50340,), (50341,), (50342,), (50343,), (50344,), (56746,), (56747,), (56748,), (56749,), (56750,), (56751,), (56752,), (56753,), (56754,), (56755,), (56756,), (56757,), (56760,), (56761,), (56762,), (56763,), (56764,), (56765,), (56766,), (56767,), (56768,), (56769,), (56770,), (56771,), (56772,), (56773,), (56774,), (56776,), (56777,), (56778,), (56779,), (56780,), (56781,), (56782,), (56783,), (56785,), (56786,), (56787,), (56788,), (56789,), (56790,), (56791,), (56792,), (56793,), (56794,), (56795,), (56796,), (56797,), (56799,), (56800,), (56801,), (56802,), (56803,), (56804,), (56805,), (56817,), (56818,), (56819,), (56820,)]",[]
"Which foreign language used by ""A Pedra Fellwar""?",data/dev_databases/card_games/card_games.sqlite,"""A Pedra Fellwar"" refers to name = 'A Pedra Fellwar'",SELECT DISTINCT language FROM foreign_data WHERE name = 'A Pedra Fellwar',"Which foreign language used by ""A Pedra Fellwar""?","What is the foreign language spoken in the book titled ""The Falling Stone""?",SELECT languageþFROM foreign_dataþWHERE name = 'A Pedra Fellwar',SELECT languageþFROM set_translationsþWHERE translation = 'The Falling Stone',0,0,1,"[('Portuguese (Brazil)',)]","[('Portuguese (Brazil)',), ('Portuguese (Brazil)',), ('Portuguese (Brazil)',), ('Portuguese (Brazil)',), ('Portuguese (Brazil)',), ('Portuguese (Brazil)',)]",[]
