q1,db_path,knowledge,gt,question,another_question,answer,another_answer,valid,empty,correct,egt,e1,e2
"Among the schools with an SAT excellence rate of over 0.3, what is the highest eligible free rate for students aged 5-17?",data/dev_databases/california_schools/california_schools.sqlite,Excellence rate = NumGE1500 / NumTstTakr; Eligible free rates for students aged 5-17 = `Free Meal Count (Ages 5-17)` / `Enrollment (Ages 5-17)`,SELECT MAX(CAST(T1.`Free Meal Count (Ages 5-17)` AS REAL) / T1.`Enrollment (Ages 5-17)`) FROM frpm AS T1 INNER JOIN satscores AS T2 ON T1.CDSCode = T2.cds WHERE CAST(T2.NumGE1500 AS REAL) / T2.NumTstTakr > 0.3,"Among the schools with an SAT excellence rate of over 0.3, what is the highest eligible free rate for students aged 5-17?",What is the maximum percentage of eligible students aged 5-17 receiving free education in schools with an SAT excellence rate greater than 0.3?,SELECT MAX(`Percent (%) Eligible Free (Ages 5-17)`) þFROM frpm þWHERE CDSCode IN (þ    SELECT cds þ    FROM satscores þ    WHERE NumTstTakr > 0 AND NumGE1500 / NumTstTakr > 0.3þ),SELECT MAX(`Percent (%) Eligible Free (Ages 5-17)`) þFROM frpm þINNER JOIN satscores ON frpm.CDSCode = satscores.cds þWHERE satscores.NumTstTakr > 0 AND satscores.NumGE1500 / satscores.NumTstTakr > 0.3,1,0,0,"[(0.9049079754601227,)]","[(None,)]","[(None,)]"
"List the top five school, by descending order, from the highest to the lowest, the most number of Enrollment (Ages 5-17). Please give their NCES school identification number.",data/dev_databases/california_schools/california_schools.sqlite,False,SELECT T1.NCESSchool FROM schools AS T1 INNER JOIN frpm AS T2 ON T1.CDSCode = T2.CDSCode ORDER BY T2.`Enrollment (Ages 5-17)` DESC LIMIT 5,"List the top five school, by descending order, from the highest to the lowest, the most number of Enrollment (Ages 5-17). Please give their NCES school identification number.","Can you provide a query to rank schools based on the number of students aged 5-17 enrolled, and display the top five schools along with their NCES identification numbers in descending order?","SELECT schools.NCESSchool, schools.School, frpm.`Enrollment (Ages 5-17)`þFROM schoolsþINNER JOIN frpm ON schools.CDSCode = frpm.CDSCodeþORDER BY frpm.`Enrollment (Ages 5-17)` DESCþLIMIT 5","SELECT schools.NCESSchool, schools.School, frpm.`Enrollment (Ages 5-17)`þFROM schoolsþINNER JOIN frpm ON schools.CDSCode = frpm.CDSCodeþORDER BY frpm.`Enrollment (Ages 5-17)` DESCþLIMIT 5",1,0,0,"[('11707',), ('04653',), ('08283',), ('02751',), ('03050',)]","[('11707', 'River Springs Charter', 5271.0), ('04653', 'Paramount High', 4734.0), ('08283', 'Visions In Education', 4718.0), ('02751', 'Polytechnic High', 4369.0), ('03050', 'Granada Hills Charter High', 4334.0)]","[('11707', 'River Springs Charter', 5271.0), ('04653', 'Paramount High', 4734.0), ('08283', 'Visions In Education', 4718.0), ('02751', 'Polytechnic High', 4369.0), ('03050', 'Granada Hills Charter High', 4334.0)]"
Which active district has the highest average score in Reading?,data/dev_databases/california_schools/california_schools.sqlite,False,SELECT T1.District FROM schools AS T1 INNER JOIN satscores AS T2 ON T1.CDSCode = T2.cds WHERE T1.StatusType = 'Active' ORDER BY T2.AvgScrRead DESC LIMIT 1,Which active district has the highest average score in Reading?,What is the name of the district that currently has the highest mean score in Reading among all districts that are currently operational?,"SELECT frpm.`District Name`, AVG(satscores.AvgScrRead) as avg_reading_scoreþFROM frpmþJOIN satscores ON frpm.CDSCode = satscores.cdsþJOIN schools ON frpm.CDSCode = schools.CDSCodeþWHERE schools.StatusType = 'Active'þGROUP BY frpm.`District Name`þORDER BY avg_reading_score DESCþLIMIT 1","SELECT frpm.`District Name`, AVG(satscores.AvgScrRead) as mean_reading_scoreþFROM frpmþJOIN satscores ON frpm.CDSCode = satscores.cdsþJOIN schools ON frpm.CDSCode = schools.CDSCodeþWHERE schools.StatusType = 'Active'þGROUP BY frpm.`District Name`þORDER BY mean_reading_score DESCþLIMIT 1",1,0,0,"[('Palo Alto Unified',)]","[('Santa Cruz County Office of Education', 638.0)]","[('Santa Cruz County Office of Education', 638.0)]"
Under whose administration does the school with the highest number of test takers whose total SAT Scores are greater or equal to 1500 belong to? Indicate his or her full name.,data/dev_databases/california_schools/california_schools.sqlite,"full name means first name, last name; There are at most 3 administrators for each school; SAT Scores are greater or equal to 1500 refers to NumGE1500","SELECT T2.AdmFName1, T2.AdmLName1, T2.AdmFName2, T2.AdmLName2, T2.AdmFName3, T2.AdmLName3 FROM satscores AS T1 INNER JOIN schools AS T2 ON T1.cds = T2.CDSCode ORDER BY T1.NumGE1500 DESC LIMIT 1",Under whose administration does the school with the highest number of test takers whose total SAT Scores are greater or equal to 1500 belong to? Indicate his or her full name.,What is the name of the administrator in charge of the school with the most students who scored 1500 or higher on the SAT exam?,SELECT AdmFName1 || ' ' || AdmLName1 AS AdministratorþFROM schoolsþJOIN satscores ON schools.CDSCode = satscores.cdsþWHERE NumGE1500 = (SELECT MAX(NumGE1500) FROM satscores WHERE NumTstTakr >= 1)þLIMIT 1,SELECT AdmFName1 || ' ' || AdmLName1 AS AdministratorNameþFROM schoolsþWHERE CDSCode = (þ    SELECT cdsþ    FROM satscoresþ    WHERE NumGE1500 = (þ        SELECT MAX(NumGE1500)þ        FROM satscoresþ    )þ) OR CDSCode = (þ    SELECT cdsþ    FROM satscoresþ    WHERE NumGE1500 = (þ        SELECT MAX(NumGE1500)þ        FROM satscoresþ    )þ) OR CDSCode = (þ    SELECT cdsþ    FROM satscoresþ    WHERE NumGE1500 = (þ        SELECT MAX(NumGE1500)þ        FROM satscoresþ    )þ)þLIMIT 1,1,0,0,"[('Michelle', 'King', None, None, None, None)]","[('Michelle King',)]","[('Michelle King',)]"
What is the average number of test takers from Fresno schools that opened between 1/1/1980 and 12/31/1980?,data/dev_databases/california_schools/california_schools.sqlite,between 1/1/1980 and 12/31/1980 means the year = 1980,"SELECT AVG(T1.NumTstTakr) FROM satscores AS T1 INNER JOIN schools AS T2 ON T1.cds = T2.CDSCode WHERE strftime('%Y', T2.OpenDate) = 1980 AND T2.County = 'Fresno'",What is the average number of test takers from Fresno schools that opened between 1/1/1980 and 12/31/1980?,"What is the mean number of individuals who took exams in schools located in Fresno that commenced operations between January 1st, 1980 and December 31st, 1980?",SELECT AVG(NumTstTakr) þFROM satscores þWHERE cds IN (þ    SELECT CDSCode þ    FROM schools þ    WHERE County = 'Fresno' AND OpenDate BETWEEN '1980-01-01' AND '1980-12-31'þ),SELECT AVG(NumTstTakr) þFROM satscores þWHERE cds IN (þ    SELECT CDSCode þ    FROM schools þ    WHERE County = 'Fresno' þ    AND OpenDate BETWEEN '1980-01-01' AND '1980-12-31'þ),1,0,0,"[(None,)]","[(137.88888888888889,)]","[(137.88888888888889,)]"
What is the monthly average number of schools that opened in Alameda County under the jurisdiction of the Elementary School District in 1980?,data/dev_databases/california_schools/california_schools.sqlite,Elementary School District refers to DOC = 52; Monthly average number of schools that opened in 2018 = count(schools that opened in 1980) / 12,"SELECT CAST(COUNT(School) AS REAL) / 12 FROM schools WHERE DOC = 52 AND County = 'Alameda' AND strftime('%Y', OpenDate) = '1980'",What is the monthly average number of schools that opened in Alameda County under the jurisdiction of the Elementary School District in 1980?,What was the average number of elementary schools that began operating in Alameda County in 1980 under the Elementary School District's authority on a monthly basis?,SELECT COUNT(*)/12 AS 'Monthly Average'þFROM schoolsþWHERE County = 'Alameda' AND DOC = '52' AND OpenDate LIKE '1980%',SELECT COUNT(*)/12 AS avg_num_schoolsþFROM schoolsþWHERE County = 'Alameda' AND DOCType = 'Elementary School District' AND OpenDate LIKE '1980%',1,0,0,"[(1.4166666666666667,)]","[(1,)]","[(1,)]"
"Of all the schools with a mailing state address in California, how many are active in San Joaquin?",data/dev_databases/california_schools/california_schools.sqlite,,SELECT COUNT(CDSCode) FROM schools WHERE City = 'San Joaquin' AND State = 'CA' AND StatusType = 'Active',"Of all the schools with a mailing state address in California, how many are active in San Joaquin?",How many schools located in the state of California's San Joaquin region are currently active and have a mailing address within the same state?,SELECT COUNT(*) þFROM schools þWHERE State = 'CA' AND County = 'San Joaquin' AND StatusType = 'Active',SELECT COUNT(*) þFROM schools þWHERE County = 'San Joaquin' þAND State = 'CA' þAND StatusType = 'Active' þAND MailState = 'CA',1,0,0,"[(2,)]","[(261,)]","[(261,)]"
What is the ratio in percentage of Santa Clara County schools that are locally funded compared to all other types of charter school funding?,data/dev_databases/california_schools/california_schools.sqlite,Ratio in percentage = (count(locally funded schools in Santa Clara) / count(all funding type schools in Santa Clara) * 100%,SELECT CAST(SUM(CASE WHEN FundingType = 'Locally funded' THEN 1 ELSE 0 END) AS REAL) * 100 / SUM(CASE WHEN FundingType != 'Locally funded' THEN 1 ELSE 0 END) FROM schools WHERE County = 'Santa Clara' AND Charter = 1,What is the ratio in percentage of Santa Clara County schools that are locally funded compared to all other types of charter school funding?,What percentage of charter schools in Santa Clara County receive funding from local sources compared to other types of funding?,"SELECT þ    (COUNT(CASE WHEN schools.FundingType = 'Locally Funded' THEN 1 END) * 100.0 / COUNT(schools.FundingType)) AS ""Ratio in Percentage""þFROM þ    schoolsþWHERE þ    schools.County = 'Santa Clara' AND schools.StatusType = 'Active' AND schools.Charter = 1","SELECT þ    (COUNT(CASE WHEN schools.FundingType = 'Local' AND frpm.`Charter School (Y/N)` = 1 THEN 1 END) / COUNT(CASE WHEN frpm.`Charter School (Y/N)` = 1 THEN 1 END)) * 100 AS ""Percentage of Charter Schools in Santa Clara Receiving Local Funding""þFROM þ    schoolsþJOIN þ    frpm ON schools.CDSCode = frpm.CDSCodeþWHERE þ    schools.County = 'Santa Clara'",1,0,0,"[(33.333333333333336,)]","[(0.0,)]","[(0,)]"
"Between 1/1/2000 to 12/31/2005, how many directly funded schools opened in the county of Stanislaus?",data/dev_databases/california_schools/california_schools.sqlite,Directly funded schools refers to FundingType = 'Directly Funded',"SELECT COUNT(School) FROM schools WHERE strftime('%Y', OpenDate) BETWEEN '2000-01-01' AND '2005-12-31' AND County = 'Stanislaus' AND FundingType = 'Directly funded'","Between 1/1/2000 to 12/31/2005, how many directly funded schools opened in the county of Stanislaus?","How many educational institutions that received direct funding were established in Stanislaus County between January 1st, 2000 and December 31st, 2005?",SELECT COUNT(*) þFROM schools þWHERE FundingType = 'Directly Funded' þAND County = 'Stanislaus' þAND OpenDate BETWEEN '2000-01-01' AND '2005-12-31',SELECT COUNT(*) þFROM schools þWHERE FundingType = 'Directly Funded' þAND County = 'Stanislaus' þAND OpenDate >= '2000-01-01' þAND ClosedDate <= '2005-12-31',1,0,0,"[(6,)]","[(0,)]","[(0,)]"
How many active and closed District Community Day Schools are there in the county of Alpine?,data/dev_databases/california_schools/california_schools.sqlite,,SELECT COUNT(School) FROM schools WHERE StatusType = 'Closed' OR StatusType = 'Active' AND County = 'Alpine',How many active and closed District Community Day Schools are there in the county of Alpine?,What is the total count of District Community Day Schools that are both operational and non-operational in Alpine County?,"SELECT COUNT(*) þFROM schools þWHERE County = 'Alpine' þAND StatusType IN ('Active', 'Closed') þAND School LIKE '%Community Day%' þAND District LIKE '%District%'","SELECT COUNT(*) þFROM schools þWHERE County = 'Alpine' þAND District LIKE '%Community Day%' þAND StatusType IN ('Active', 'Closed')",1,0,0,"[(4400,)]","[(0,)]","[(0,)]"
